Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"Fog Lamp Clamp","To clamp speedometer to bike",2,3.04,"https://www.amazon.in/ELTRON-TURBO-Universal-Lamp-Clamp/dp/B0C9WVTJDK/ref=sr_1_2?crid=3LBBBOLKOA92B&dib=eyJ2IjoiMSJ9.4vKptsryg4rrSzFJ9Ql9pyceFBfNvOHOV6toTNZkC06QTiiqWmYry_oR-cMNHdDgYMDqFv6miH1BSRefTwKdlL5i2Q6MRy2t1D_6Y4qWOUyRdU9ixYJ_UMGzPLGzbO1g4GmrAFYr1W_mAR7IRapR91s1JuQjQ6Wr4DI--7xqOBpPKK0nJug0etnNSeczJVzfwW0zBN2TlSBPEMsfUCVSA2xXLABdeljgbtXSu-1oI8jtv-faabYXzN737KKvL-Q7zwZLcK1CTwb-1Z3x4QYX61PCnvfmpeYSDB4sv6-c48s.PAtxzRAM8RbM_5tAw6LrDWTzDSpCUCXVaaXdZq0-Af0&dib_tag=se&keywords=Fog+Lamp+Clamp&qid=1775919251&s=automotive&sprefix=fog+lamp+clamp%2Cautomotive%2C607&sr=1-2","Amazon"
"M5x8 mm Brass Heat set Threaded Round Insert Nut","To connect the speedometer with bike",25,1.62,"https://robu.in/product/m5-x-8-mm-brass-heat-set-threaded-round-insert-nut-25-pcs/","Robu.in"
"M3x4 mm Brass Heat Set Threaded Round Insert Nut","To screw top case to bottom",25,0.96,"https://robu.in/product/m3-x-4-mm-brass-heat-set-knurl-threaded-round-insert-nut-25-pcs/","Robu.in"
"24AWG Single core teflon wire","To make connections",2,0.38,"https://robu.in/product/24awg-single-core-teflon-wire-black/","Robu.in"
"10k Ohm 0.25W Metal Film Resistor","Volatge divider to check how much battery is left",10,0.03,"https://robu.in/product/10k-ohm-0-25w-metal-film-resistor-pack-of-100/","Robu.in"
"MTS-101R-Miniature Toggle Switch-2Pin","To switch on/off the speedometer when not in use ",2,0.77,"https://robu.in/product/mts-101r-miniature-toggle-switch-2pinon-off/","Robu.in"
"Molicel A Grade INR-18650-M35A 3.6V 3500mAh 3C Li-ion Battery","Battery, To provide power to components",1,4.29,"https://robu.in/product/molicel-inr-18650-m35a-3-6v-3500mah-3c-li-ion-battery/","Robu.in"
"NEO-6M GPS Module","Global Positioning System Module. It measures speed using latitude and longitude data by connecting to various sattelites",1,2.70,"https://robu.in/product/neo-6m-gps-module-with-eprom-normal-quality/","Robu.in"
"1.3 Inch I2C OLED Display Module","To show speed, time, distance, and other various telemetry",1,2.90,"https://robu.in/product/1-3-inch-i2c-oled-display-module-4-pin-white/","Robu.in"
"Seeed Studio XIAO ESP32-S3","MCU, It is the brain of my speedometer",1,9.66,"https://robocraze.com/products/seeed-studio-xiao-esp32-s3-development-board-supports-wi-fi-bluetooth-5-0?_pos=1&_psq=xiao+esp32s&_ss=e&_v=1.0","Robocraze"
